book_id,isbn,title,author,description,year,pages,stars,date,clicks,views,event
1,9783284783180,СИ++ И КОМПЬЮТЕРНАЯ ГРАФИКА,Андрей Богуславский,"Развитие современных технологий создания ПО предполагает владение программистом широким набором практических навыков, среди которых одними из основных можно считать знание языка программирования, среды разработки и системных технологий базовой операционной системы. Книга предназначена для начальной подготовки программиста, владеющего языком Си++ и инструментальными средствами векторной компьютерной графики применительно к разработке программ в операционных системах (ОС) семейства Win32.
Читая книгу `Си++ и компьютерная графика`, выпущенную издательством `КомпьютерПресс`, Вы получаете замечательную возможность - научиться создавать приложения к известной российской САПР КОМПАС, а точнее - к ее базовым конструкторским модулям, чертежно-графической системе КОМПАС-ГРАФИК и системе трехмерного твердотельного моделирования КОМПАС-3D.
Комплекс программного обеспечения КОМПАС, разработанный компанией АСКОН, - один из наиболее распространенных пакетов САПР в России и странах ближнего зарубежья, ставший выбором более чем 1600 промышленных предприятий. Это удобный, эффективный и мощный программный комплекс для автоматизированного проектирования и конструирования, подготовки производства, управления инженерными данными.
Важное преимущество комплекса КОМПАС - его открытость для развития со стороны пользователей, как профессиональных программистов, так и обычных конструкторов и технологов. Для первых КОМПАС предоставляет развитые программные интерфейсы доступа к своим функциям и возможностям, для вторых - удобные средства создания библиотек типовых фрагментов, различных шаблонов, стилей оформлений и т.д.
Книга адресована программистам, создающим приложения в среде КОМПАС, а также студентам. Специалисты отделов АСУ и САПР, ознакомившись с данным изданием, получат возможность создавать собственные библиотеки стандартных элементов в среде КОМПАС.
Издание поможет и тем заказчикам ПО САПР, которые уже имеют свои разработки в области автоматизированного проектирования (методики и расчетные задачи, уже реализованные в виде программ под Windows). Между тем, они часто нуждаются в средствах визуализации расчетных данных, которые с успехом можно реализовать как приложения к модулям КОМПАС.
Сегодня КОМПАС широко применяется для подготовки инженерных кадров в вузах. Пользователями систем являются основные технические кафедры: инженерной графики, технической и прикладной механики, деталей машин, проектирования, технологии и механизации производств. Книга поможет будущим инженерам-конструкторам, изучающим программирование, открыв перед ними самые широкие возможности для применения этих знаний в дальнейшей работе. Нужно отметить, что сегодня есть целый ряд примеров разработок вузовскими коллективами собственных приложений к КОМПАС, реализованных в сотрудничестве с предприятиями-заказчиками.
У компании АСКОН действует специальная программа по привлечению специалистов и творческих коллективов к разработке. Читатели книги получают отличный шанс создать приложение для системы КОМПАС, которое разойдется многими тысячами экземпляров.",2003,352,5,1976-12-14T05:08:06.000Z,1,20,0
2,9783122659165,Программирование на языке Go!,Марк Саммерфильд,"Перед вами практическое руководство по Go, революционно новому языку программирования со встроенной поддержкой параллельного программирования, который упрощает разработку программ для многопроцессорных систем.

На данный момент, Go – самый превосходный из новых языков программирования. Он изначально создавался, дабы помочь задействовать полную мощь современных многоядерных процессоров. В данном руководстве первопроходец языка Go Марк Саммерфильд расказывает, каким образом писать программы, в полной мере применяющие его революционные возможности и идиомы . Будучи в то же время и учебником, и справочником, книга «Программирование на языке Go» объединяет в себе все сведения, которые понадобятся, для того чтобы продолжить изучение Go, думать на Go и создавать высокопроизводительные программы на Go. Саммерфильд приводит массу сравнений идиом программирования, показывая преимущества Go перед более давними языками, уделяя особенное внимание ключевым инновациям. Заодно, начиная с самых начал, он объясняет все аспекты параллельного программирования на языке Go с использованием каналов и без применения блокировок, а также гибкость и необычность подхода к объектно-ориентированному программированию с использованием механизма динамической типизации.

Главный упор автор делает на практическое применение. Каждая глава заключает выверенные, работающие примеры программного кода, дабы вызвать в читателе дух экспериментатора и помочь ему стремительнее овладеть мастерством разработки. Повсюду , где это возможно, приводятся законченные программы и пакеты , которые демонстрируют особенности практического применения, а также упражнения.",2016,550,5,1997-01-04T19:43:39.000Z,1,2,0
3,9781177300391,Толковый словарь сетевых терминов и аббревиатур,"М. Вильямс","Этот словарь представляет собой наиболее полное собрание терминов и аббревиатур, применяемых в области сетевых технологий. В первой части собраны стандартные термины, широко используемые в области межсетевых взаимодействий, а во второй - специфические термины, характерные только для Cisco Systems и Cisco IOS. Словарь станет практичным и удобным справочником для всех специалистов в области сетевых технологий; он будет незаменим как при чтении материалов общего характера, так и при изучении специализированных технических руководств.

Компактный справочник терминов и аббревиатур, используемых в области объединения и маршрутизации сетей
Предназначен для студентов и специалистов, эксплуатирующих и создающих сети и сетевые инфраструктуры
Приведены тысячи новых терминов и обновленных определений
Официальный справочник Cisco Systems, созданный сетевыми экспертами Cisco в специализированных областях деятельности
Книга представляет собой всеобъемлющее справочное руководство, содержащее тысячи технических терминов, с которыми можно столкнуться в повседневной деятельности. Она содержит краткие определения практически всех терминов, которые используются в новейших сетевых технологиях. Благодаря этому книга, несомненно, будет очень полезна в практической работе специалистов по сетям и в процессе обучения студентов.

Книга, созданная специалистами компании Cisco Systems, содержит обновленные или совершенно новые определения для тысяч терминов, аббревиатур или понятий.

Cisco Systems, Inc. - ведущая компания мира в области сетевых технологий и Internet. Она создает аппаратное и программное обеспечение, предназначенное для работы в Internet. Использование решений, предлагаемых Cisco, предоставит отдельным пользователям, компаниям и странам беспрепятственный доступ к информации в любом месте и в любое время. Благодаря эффективному и своевременному обновлению информации, включая ведущие в этой отрасли публикации издательства Cisco Press, решения Cisco предоставляют клиентам компании возможность обучения и достижения конкурентного преимущества. Это позволяет сэкономить средства, повысить производительность и установить более тесные формы сотрудничества. Эти решения лежат в основе сетевого взаимодействия многих организаций всего мира.",2002,368,5,1993-01-27T12:06:36.000Z,1,2,0
4,9785738912641,Python for Data Analysis,Уэс Маккинни,"Отримайте вичерпний посібник з маніпулювання, обробки, очищення та аналізу наборів даних у Python. Третє видання цього практичного посібника, оновлене для Python 3.9 та pandas 1.2, наповнене практичними прикладами, які покажуть вам, як ефективно вирішувати широкий спектр завдань з аналізу даних. Ви також ознайомитеся з останніми версіями pandas, NumPy та Jupyter.

Написана Весом МакКінні, творцем проекту Python pandas, ця книга є практичним, сучасним вступом до інструментів науки про дані в Python. Вона ідеально підходить для аналітиків, які тільки починають вивчати Python, а також для програмістів, які тільки починають вивчати науку про дані та наукові обчислення. Файли даних та супутні матеріали доступні на GitHub.

Використовуйте блокнот Jupyter та оболонку IPython для дослідницьких обчислень
Вивчіть базові та розширені можливості NumPy
Почніть працювати з інструментами аналізу даних у бібліотеці pandas
Використовуйте гнучкі інструменти для завантаження, очищення, перетворення, злиття та зміни форми даних
Створювати інформативні візуалізації за допомогою matplotlib
Застосовуйте інструмент pandas groupby для розбиття, нарізки та узагальнення наборів даних
Аналізувати та маніпулювати регулярними та нерегулярними даними часових рядів
Навчіться розв'язувати реальні задачі аналізу даних на детальних прикладах.
Вес МакКінні - розробник програмного забезпечення та підприємець з Нешвіла. Закінчивши бакалаврат з математики в Массачусетському технологічному інституті в 2007 році, він продовжив займатися кількісними фінансами в AQR Capital Management в Грінвічі, штат Коннектикут. Розчарований громіздкими інструментами аналізу даних, він вивчив Python і почав створювати те, що згодом стало проектом pandas. Зараз він є активним членом спільноти розробників даних на Python і є прихильником використання Python в аналізі даних, фінансах та статистичних обчисленнях.

Пізніше Вес був співзасновником і генеральним директором компанії DataPad, чиї технологічні активи і команда були придбані Cloudera в 2014 році. З тих пір він займається технологіями великих даних, приєднавшись до комітетів з управління проектами Apache Arrow та Apache Parquet в Apache Software Foundation. У 2018 році він заснував Ursa Labs, некомерційну організацію, яка займається розробкою Apache Arrow, у партнерстві з RStudio та Two Sigma Investments. У 2021 році став співзасновником технологічного стартапу Voltron Data, де наразі працює технічним директором.",2022,552,5,1994-08-14T04:45:30.000Z,0,2,0
5,9789254867492,Thinking in Java (4th Edition),Брюс Эккель,"Нова версія книги про головних питаннях програмування: чому вони виникають і який підхід застосовує Java у їх вирішенні.

Дана книга вперше виходить російською мовою в повній версії.

Книга,которая выдержала в оригинале не одно переиздание, за полное и философское изложение всех аспектов языка Java считается одним из наилучших пособий для программистов. Для того чтобы по-настоящему постигнуть язык Java, нужно рассматривать его не просто как комплект неких команд и операторов, а постигнуть его «философию», подход к решению задач, в сравнении с подобными в других языках программирования. На страницах этого издания автор рассказывает об главных проблемах написания кода: в чем их естество и какой подход использует Java в их разрешении . Тому риси мови які розглядаються в кожній главі нерозривно пов'язані з тим, яким чином вони застосовуються для вирішення певних завдань.",2020,1168,4,2004-02-06T15:33:47.000Z,0,0,0
6,9788660761936,Introduction to Algorithms,"Томас Кормен, Чарльз Лейзерсон, Рональд Ривест, Клиффорд Штайн","Деякі книги про алгоритми є строгими, але неповними; інші охоплюють велику кількість матеріалу, але їм бракує строгості. Вступ до алгоритмів унікально поєднує строгість і всеосяжність. Він глибоко охоплює широкий спектр алгоритмів, але робить їх розробку та аналіз доступними для всіх рівнів читачів, завдяки окремим главам та алгоритмам у псевдокоді. З моменту публікації першого видання ""Вступ до алгоритмів"" став провідним підручником з алгоритмізації в університетах по всьому світу, а також стандартним довідником для професіоналів. Це четверте видання було повністю оновлене.
Нове у четвертому виданні
Нові розділи про відповідності у дводольних графах, онлайн-алгоритми та машинне навчання
Новий матеріал з таких тем, як розв'язування рекурентних рівнянь, хеш-таблиці, потенційні функції та суфіксальні масиви
140 нових вправ і 22 нові задачі
Вдосконалення старих задач на основі відгуків читачів
Чіткіший, більш особистий і гендерно нейтральний стиль написання
Додано колір для покращення візуальної презентації
Оновлені примітки, бібліографія та покажчик, щоб відобразити розвиток у цій галузі
Веб-сайт з новими додатковими матеріалами
Про автора
Томас Х. Кормен - почесний професор комп'ютерних наук у Дартмутському коледжі.
Чарльз Е. Лейзерсон - професор Едвіна Сіблі Вебстера з електротехніки та комп'ютерних наук в Массачусетському технологічному інституті.
Рональд Л. Рівест - професор інституту в Массачусетському технологічному інституті.
Кліффорд Стайн - професор Вай Т. Чанга з промислової інженерії та операційних досліджень, а також комп'ютерних наук у Колумбійському університеті.",2022,1312,4,1990-10-21T18:10:57.000Z,0,0,0
7,9789365746983,JavaScript Pocket Reference,Дэвид Флэнаган,"JavaScript (JS) - найпопулярніша мова програмування, яку вже понад 15 років застосовують для написання сценаріїв інтерактивних веб-сторінок. У новій книзі Девіда Фленагана ""JavaScript: кишеньковий довідник"" подано найважливіші відомості про синтаксис мови та показано приклади її практичного застосування. Незважаючи на малий обсяг кишенькового видання, у ньому міститься все, що необхідно знати для розробки професійних веб-додатків на JavaScript

Глави 1-9 присвячені опису синтаксису останньої версії мови (специфікація ECMAScript 5).

Типи даних, значення та змінні
Інструкції, оператори та вирази
Об'єкти та масиви
Класи та функції
Регулярні вирази
У розділах 10-14 розглядаються функціональні можливості мови поряд із моделлю DOM і засобами підтримки HTML5.

Взаємодія коду JavaScript з вікнами браузера
Сценарії HTML-документів і елементи сторінки
Керування стилями та класами CSS за допомогою коду JavaScript
Реагування на події миші та клавіатури
Взаємодія з веб-серверами
Зберігання даних на комп'ютері користувача
Девід Фленаган - JavaScript-програміст у компанії Mozilla, автор численних книжок з мов програмування, включно з JavaScript, Java і Ruby.

Отримав ступінь доктора технічних наук у Массачусетському технологічному інституті.",2020,320,4,1987-09-09T19:04:17.000Z,0,0,0
8,9785366390330,"Adaptive Code via C#: Class and Interface Design, Design Patterns, and SOLID Principles",Гэри Маклин Холл,"Ваш процес може бути гнучким, але чи вбудовуєте ви гнучкість безпосередньо в кодову базу? Ця книга навчить .NET-програмістів, як надати коду гнучкості для адаптації до мінливих вимог і запитів клієнтів, застосовуючи найсучасніші методи, включаючи принципи SOLID, шаблони проектування та інші найкращі практики галузі.

Зрозумієте, чому композиція є кращою за успадкування і наскільки гнучким може бути інтерфейс
Отримаєте глибокі знання про ключові патерни та антипатерни проектування, коли їх застосовувати та як надати своєму коду гнучкості
Подолання розриву між теорією, що лежить в основі принципів SOLID, патернами проектування та кращими галузевими практиками шляхом прагматичного вирішення реальних проблем
Отримайте приклади коду, написані у наступній версії Microsoft Visual C#
Теми включають Agile з процесом Scrum; залежності та нашарування; інтерфейс; патерни та анти-патерни; вступ до принципів SOLID, включаючи відкриті/закриті та вигуки залежностей; використання шаблонів додатків.",2014,432,4,2010-04-18T15:32:23.000Z,0,0,0
9,9783322119698,SQL: The Complete Referenc,Джеймс Р. Грофф,"Ця книжка розповість вам, як працювати з командами та інструкціями SQL, створювати та налаштовувати реляційні бази даних, завантажувати та модифікувати об'єкти баз даних, виконувати потужні запити, підвищувати продуктивність і вибудовувати систему безпеки. Ви
дізнаєтеся, як використовувати інструкції DDL і застосовувати API, інтегрувати XML і сценарії Java, використовувати об'єкти SQL, створювати веб-сервери, працювати з віддаленим доступом і виконувати розподілені транзакції. У цій книзі ви знайдете такі відомості, як описи
роботи з базами даних у пам'яті, потоковими та вбудованими базами даних, базами даних для мобільних і наладонних пристроїв, і багато іншого.
Прочитавши її, ви дізнаєтеся:

Побудова SQL-реляційних баз даних і додатків, створення, завантаження і модифікація об'єктів баз даних із застосуванням SQL
Побудова і виконання простих, багатотабличних і підсумкових запитів
Реалізація системи безпеки з використанням аутентифікації, привілеїв, ролей і уявлень
Оптимізація, резервне копіювання, відновлення та реплікація баз даних
Робота зі збереженими процедурами, функціями, розширеннями, тригерами та об'єктами
Розширена функціональність із застосуванням API, динамічного та вбудованого SQL
Опис таких питань, як транзакції, механізми блокувань, матеріалізовані уявлення і протокол двофазного завершення транзакції
Останні тенденції ринку та майбутнє SQL
Ця книга включає повний опис синтаксису з'єднань SQL!

Повний опис можливостей SQL, стандарту ANSI, питань застосування та програмування.
Включає історію, ринкові тенденції та порівняння можливостей провідних СУБД.
Оновлена інформація про XML, корпоративні та спеціалізовані бази даних (бази даних у пам'яті, потокові та вбудовані бази даних).
Матеріал від трьох провідних експертів охоплює всі аспекти SQL.

Переглянутий з урахуванням останніх версій РСУБД, цей посібник пояснює, як створювати, наповнювати й адмініструвати високопродуктивні бази даних і розробляти потужні та надійні
додатки з використанням SQL.

Про авторів

Джеймс Р. Грофф є виконавчим директором компанії PBworks. Раніше Грофф обіймав ту саму посаду в компанії TimesTen, очолюючи її протягом восьми років до купівлі компанії в 2005 році корпорацією Oracle.
Поль Н. Вайнберг - старший віце-президент компанії SAP. Вайнберг - експерт у галузі SQL; його компанія A2i, Inc. була придбана SAP у 2004 році. Разом із Дж. Гроффом є співавтором попередніх видань цієї книги.
Ендрю Дж. Оппель - провідний фахівець із моделювання даних у Blue Shield. Крім того, він уже понад 20 років викладає теорію баз даних у Каліфорнійському університеті в Берклі.",2015,960,2,2013-11-17T23:10:07.000Z,0,0,0
10,9782737616686,PHP and MySQL Web Development,Люк Веллинг,"Книга ""Веб-розробка на PHP та MySQL"" навчить читача розробляти динамічні, безпечні, комерційні веб-сайти. Використовуючи той самий доступний, популярний стиль викладання, що й у першому виданні, цей бестселер було оновлено, щоб відобразити швидкозмінний ландшафт MySQL і PHP.

Книга вчить читача інтегрувати та впроваджувати ці технології на реальних прикладах і робочих зразках проектів, а також охоплює суміжні технології, необхідні для створення комерційних веб-сайтів, такі як SSL, кошики для покупок і платіжні системи.

Друге видання містить нові відомості про те, як працювати з XML при розробці сайту на PHP і MySQL, а також про те, як використовувати цінні ресурси репозиторію коду і розширень PEAR.",2003,871,4,1972-11-19T18:25:16.000Z,0,0,0
